leading bits the hash:  74
number of hashes     :  18889465931478580854784
hours of work:          374,791
kWatts:                 514,213
electricity bill, USD:  24,682
------------ let's have a look at the last 24h: (hash, timestamp, electricity bill for the block)
0000000000000000003eb16d159dd96901c0688db8bf418abd2068e193ae0f45, Mon Oct 16 05:26:13 2017, 24,682
000000000000000000a99411c69ad537718ca94932e9641ec2166e91752bb615, Mon Oct 16 05:23:38 2017, 6,171
00000000000000000097d8a9f9dc6e5dc057688817071e8959fb74eb974e1c68, Mon Oct 16 05:17:15 2017, 6,171
00000000000000000043e3a162a03b2c51df1420ff167720844d7eca1747444a, Mon Oct 16 05:13:10 2017, 12,341
00000000000000000056b747f803025742746f2eb5eff45c843e05177351dfd8, Mon Oct 16 04:54:02 2017, 12,341
0000000000000000004c5613326d116b213b49a2d906badcfd643cdf47169063, Mon Oct 16 04:51:41 2017, 12,341
00000000000000000063e6eea8ec87379d113400ed730a75d5ef78945ba0ecef, Mon Oct 16 04:37:05 2017, 12,341
000000000000000000989f80d46252ce733d6cb5f4c11ff326562ab9edcc64b2, Mon Oct 16 04:27:17 2017, 6,171
0000000000000000005ec8073349138296f10ea1f7a714f0b3b79ed868eeb7ba, Mon Oct 16 04:22:33 2017, 12,341
000000000000000000c09f24dd2c80d6b8d7c2aaddb3dbed69e54c80df6ef5a9, Mon Oct 16 04:03:01 2017, 6,171
0000000000000000009671f9c14a0c1373cf07f5d8ff29cf38acbd41edacba7f, Mon Oct 16 04:02:23 2017, 6,171
000000000000000000c88ff3e0b21759cb9c6439ae28a78adaf910d80ab0cc30, Mon Oct 16 03:56:48 2017, 6,171
000000000000000000df9495a043025b31e46c5a5edd884985327d50b8714905, Mon Oct 16 03:54:37 2017, 6,171
0000000000000000005a3111239057c1a5c07eaf740d9b5431254d59a3a790bb, Mon Oct 16 03:44:56 2017, 12,341
0000000000000000002eca966ed0bd69511ab6335e08f2ac696f92fc0b348edd, Mon Oct 16 03:37:00 2017, 24,682
000000000000000000db464ab6bcec46233459d90beec0c6c6477384a5679a07, Mon Oct 16 03:17:36 2017, 6,171
0000000000000000002e3dfb8ff32809f89e87b0784e0e9b86973c48aae2d123, Mon Oct 16 03:05:19 2017, 24,682
00000000000000000043689a335233c3de3326728f8363bd355fada122d29dca, Mon Oct 16 03:01:23 2017, 12,341
000000000000000000c1df8a824ce7efb836e88205c16c4eb269665fd1ab2827, Mon Oct 16 02:54:37 2017, 6,171
0000000000000000007ad1f4162fe2b1a986e54d488aa621e292950a27c34f48, Mon Oct 16 02:50:21 2017, 12,341
0000000000000000007d730410fcf7eea3868393a805d78fd42af2c5f484ad97, Mon Oct 16 02:33:29 2017, 12,341
0000000000000000006c614f43d9282f725821fb420be4da00d0f67afc78ce45, Mon Oct 16 02:31:25 2017, 12,341
000000000000000000d818e093a22f44ac55d6f6728e3bb6a1db675c8e12ffe4, Mon Oct 16 02:05:25 2017, 6,171
0000000000000000001efd3bea78bf4f5a05e38857433fda6a8106f7d681e12c, Mon Oct 16 01:53:11 2017, 49,364
000000000000000000a4e772f7195a9f2617a2e74cb05b85b4c7f967d87b26ca, Mon Oct 16 01:46:30 2017, 6,171
0000000000000000006f47f9bacb00d7b41db297a10def2596a10e03b6473192, Mon Oct 16 01:32:51 2017, 12,341
00000000000000000024407d580e4fcc34458a6a3ade8905a3cfa41dff4a61ef, Mon Oct 16 01:22:10 2017, 24,682
00000000000000000037901da7b8fb76ee050b1ae084f2d3984eb0ebf730e159, Mon Oct 16 01:02:49 2017, 24,682
000000000000000000c07451897e9cc9e561e7e2788eeb8c9e893b302ab813d5, Mon Oct 16 00:51:30 2017, 6,171
00000000000000000010dcf2eada6521cafc4aa9f0b3c87ccc39d0e4a4545d53, Mon Oct 16 00:43:24 2017, 49,364
0000000000000000002864427cd469926b3fbf0b8bf113da4113ffeb238c781a, Mon Oct 16 00:13:58 2017, 24,682
000000000000000000d20bb704867ccd020e0750c0bea02e85e9e01ce7b006c7, Mon Oct 16 00:07:28 2017, 6,171
00000000000000000029edfd608df70180b62ba03c6c7b88ff2712ee7063e93a, Mon Oct 16 00:06:19 2017, 24,682
000000000000000000528b78315a3c9815496f8dfcc26b38b4546b739dd9f0ec, Mon Oct 16 00:00:29 2017, 12,341
000000000000000000e330c2d82a3c241af05906f113265f8a79cf4d93115495, Sun Oct 15 23:58:56 2017, 6,171
000000000000000000b88832f65d807a341cd715b13f0574510d4a47b26d964d, Sun Oct 15 23:51:41 2017, 6,171
0000000000000000002eaff90d71fcc5212793302e04c657e092ef32f683a1ab, Sun Oct 15 23:47:17 2017, 24,682
0000000000000000008c8a698a0e196ba1383192afd21ddc2a13390ea0dcc6c9, Sun Oct 15 23:43:42 2017, 6,171
000000000000000000203ff51c1517186f23e4e1dcf8d8f27cbfc1a8befbc110, Sun Oct 15 23:35:33 2017, 24,682
000000000000000000419edca4099f654a352bc7ecd39f23a885b15865f0dc0d, Sun Oct 15 23:30:24 2017, 12,341
000000000000000000dd4e07c470ef5f32448e8f292fd56da8214d21145245a7, Sun Oct 15 23:22:29 2017, 6,171
0000000000000000004d29e500efd0845df5b732ed0f848d11fa30653cbd6454, Sun Oct 15 23:20:47 2017, 12,341
000000000000000000eb118d5631bf5133be4dc00ad75ee3033f61387502bbee, Sun Oct 15 23:19:38 2017, 6,171
0000000000000000000300a157dca4e656c0cbc927e7b108bee8c875970a93c9, Sun Oct 15 23:11:37 2017, 394,916
0000000000000000003f84742edb0790acc986242ca67d7be3fed4a232319850, Sun Oct 15 23:00:18 2017, 24,682
0000000000000000008627822e455f5778abd7166f9350adae87e81741d98fcc, Sun Oct 15 22:59:39 2017, 6,171
000000000000000000044c94db408f5a884b9c5b587e0b1fba8654b63bd32e68, Sun Oct 15 22:45:38 2017, 197,458
total electricity bill for 24h, USD:  3,344,443
